routeCode,,routeName,direction,From,To,duration,stops
0,0,2,0,Katraj,Shivajinagar,40,29
1,0,2,1,Shivajinagar,Katraj,40,29
2,1,3,0,Swargate,PuneStation,40,30
3,1,3,1,PuneStation,Swargate,40,30
4,2,5,0,Swargate,PuneStation,25,28
5,2,5,1,PuneStation,Swargate,25,28
6,3,7,0,Sarasbaug,UruliKanchan,75,30
7,3,7,1,UruliKanchan,Sarasbaug,75,30
8,4,8,0,HadapsarGadital,MhatobachiAlandi,45,24
9,4,8,1,MhatobachiAlandi,HadapsarGadital,45,24
10,5,9,0,HadapsarGadital,UruliRailwayStation,75,25
11,5,9,1,UruliRailwayStation,HadapsarGadital,75,25
12,6,10,0,Swargate,Keshavnagar,60,30
13,6,10,1,Keshavnagar,Swargate,60,30
14,7,11,0,Marketyard,Pimplegurav,65,27
15,7,11,1,Pimplegurav,Marketyard,65,27
16,8,12,0,UpperDepot,BhaktiShakti,85,29
17,8,12,1,BhaktiShakti,UpperDepot,85,29
18,9,13,0,UpperDepot,Shivajinagar,45,25
19,9,13,1,Shivajinagar,UpperDepot,45,25
20,10,17,0,Shaniwarwada,Narhegaon,65,26
21,10,17,1,Narhegaon,Shaniwarwada,65,26
22,11,18,0,Swargate,BhansaliComplex,30,25
23,11,18,1,BhansaliComplex,Swargate,30,25
24,12,19,0,KondhwaHospital,Shivajinagar,60,29
25,12,19,1,Shivajinagar,KondhwaHospital,60,29
26,13,20,0,Sahkarnagar,PuneStation,60,22
27,13,20,1,PuneStation,Sahkarnagar,60,22
28,14,21,0,Swargate,VasantdadaPutalaSangvi,60,26
29,14,21,1,VasantdadaPutalaSangvi,Swargate,60,26
30,15,22,0,KhandobaMandir,Shivajinagar,60,20
31,15,22,1,Shivajinagar,KhandobaMandir,60,20
32,16,23,0,UpperDepot,PuneStation,50,28
33,16,23,1,PuneStation,UpperDepot,50,28
34,17,24,0,Katraj,MaharashtraHousingBoardSamtanagar,65,20
35,17,24,1,MaharashtraHousingBoardSamtanagar,Katraj,65,20
36,18,26,0,Dhankawadi,Shivajinagar,55,20
37,18,26,1,Shivajinagar,Dhankawadi,55,20
38,19,27,0,BharatiVidyapeeth,Shivajinagar,50,27
39,19,27,1,Shivajinagar,BharatiVidyapeeth,50,27
40,20,28,0,Katraj,Shivajinagar,55,25
41,20,28,1,Shivajinagar,Katraj,55,25
42,21,30,0,Marketyard,GhotawadePhata,85,25
43,21,30,1,GhotawadePhata,Marketyard,85,25
44,22,31,0,TaljaiPathar,PuneStation,55,30
45,22,31,1,PuneStation,TaljaiPathar,55,30
46,23,32,0,BharatiVidyapeeth,Alandi,120,26
47,23,32,1,Alandi,BharatiVidyapeeth,120,26
48,24,33,0,TaljaiPathar,NaTaWadi,50,28
49,24,33,1,NaTaWadi,TaljaiPathar,50,28
50,25,37,0,NaTaWadi,Sahkarnagar,40,28
51,25,37,1,Sahkarnagar,NaTaWadi,40,28
52,26,38,0,Dhankawadi,NaTaWadi,55,20
53,26,38,1,NaTaWadi,Dhankawadi,55,20
54,27,39,0,Dhankawadi,PuneStation,50,26
55,27,39,1,PuneStation,Dhankawadi,50,26
56,28,40,0,SaketSociety,Mandai,30,27
57,28,40,1,Mandai,SaketSociety,30,27
58,29,41,0,UpperDepot,Sangvi,90,25
59,29,41,1,Sangvi,UpperDepot,90,25
60,30,42,0,Katraj,BhaktiShakti,105,22
61,30,42,1,BhaktiShakti,Katraj,105,22
62,31,43,0,Katraj,BhaktiShakti,75,25
63,31,43,1,BhaktiShakti,Katraj,75,25
64,32,46,0,UpperDepot,Lohgaon,75,30
65,32,46,1,Lohgaon,UpperDepot,75,30
66,33,47,0,Shaniwarwada,Sanaswadi,65,27
67,33,47,1,Sanaswadi,Shaniwarwada,65,27
68,34,48,0,PuneStation,VenutaiChavanCollege,60,21
69,34,48,1,VenutaiChavanCollege,PuneStation,60,21
70,35,49,0,PuneStation,Khanapur,80,22
71,36,50,0,Shaniwarwada,SinhgadPaytha,80,22
72,36,50,1,SinhgadPaytha,ShaniwarwadaStand,80,22
73,37,51,0,Shivajinagar,Dhayarigaon,50,21
74,37,51,1,Dhayarigaon,Shivajinagar,50,21
75,38,52,0,Swargate,Khanapur,80,22
76,38,52,1,Khanapur,Swargate,80,22
77,39,53,0,Shivajinagar,DSKVishwa,65,20
78,39,53,1,DSKVishwa,Shivajinagar,65,20
79,40,54,0,NaTaWadi,VenutaiChavanCollege,60,26
80,40,54,1,VenutaiChavanCollege,NaTaWadi,60,26
81,41,55,0,Suncity,Mandai,40,20
82,41,55,1,Mandai,Suncity,40,20
83,42,56,0,VadgaonBk,MandaiStand,45,21
84,42,56,1,MandaiStand,VadgaonBk,45,21
85,43,57,0,PuneStation,VadgaonBk,55,23
86,43,57,1,VadgaonBk,PuneStation,55,23
87,44,58,0,Shanipar,Gokhalenagar,30,25
88,44,58,1,Gokhalenagar,Shanipar,30,25
89,45,59,0,Shanipar,Niljyoti,30,23
90,45,59,1,Niljyoti,Shanipar,30,23
91,46,61,0,Swargate,Nasrapur,80,30
92,46,61,1,Nasrapur,Swargate,80,30
93,47,62,0,Sukhsagarnagar,Sangamwadi,70,28
94,47,62,1,Sangamwadi,Sukhsagarnagar,70,28
95,48,63,0,Swargate,Kalyaninagar,60,29
96,48,63,1,Kalyaninagar,Swargate,60,29
97,49,64,0,HadapsarGadital,WarjeMalwadi,75,25
98,49,64,1,WarjeMalwadi,HadapsarGadital,75,25
99,50,65,0,UpperDepot,MaharashtraHousingBoardSamtanagar,60,23
100,50,65,1,MaharashtraHousingBoardSamtanagar,UpperDepot,60,23
101,51,66,0,Marketyard,Agalambegaon,80,23
102,51,66,1,Agalambegaon,Marketyard,80,23
103,52,69,0,Marketyard,Ghotawadegaon,85,26
104,52,69,1,Ghotawadegaon,Marketyard,85,26
105,53,70,0,DeccanGymkhana,Sheregaon,85,21
106,53,70,1,Sheregaon,DeccanGymkhana,85,21
107,54,71,0,KothrudDepot,Sukhsagarnagar,55,24
108,54,71,1,Sukhsagarnagar,KothrudDepot,55,24
109,55,72,0,UpperDepot,Kondhwagate,65,27
110,55,72,1,Kondhwagate,UpperDepot,65,27
111,56,73,0,HadapsarGadital,KothrudDepot,80,29
112,56,73,1,KothrudDepot,HadapsarGadital,80,29
113,57,75,0,DeccanGymkhana,Vidyanagar,65,27
114,57,75,1,Vidyanagar,DeccanGymkhana,65,27
115,58,76,0,KumbarePark,UpperDepot,60,23
116,58,76,1,UpperDepot,KumbarePark,60,23
117,59,78,0,Marketyard,Kondhwagate,70,28
118,59,78,1,Kondhwagate,Marketyard,70,28
119,60,79,0,DeccanGymkhana,Mugawade,90,26
120,60,79,1,Mugawade,DeccanGymkhana,90,26
121,61,80,0,MaNaPa,CiplaCenter,45,26
122,61,80,1,CiplaCenter,MaNaPa,45,26
123,62,81,0,KumbarePark,PuneStation,55,26
124,62,81,1,PuneStation,KumbarePark,55,26
125,63,84,0,DeccanGymkhana,Sangrun,90,28
126,63,84,1,Sangrun,DeccanGymkhana,90,28
127,64,87A,0,DeccanGymkhana,Susgaon,55,30
128,64,87A,1,Susgaon,DeccanGymkhana,55,30
129,65,88,0,UpperDepot,MediPoint,60,22
130,65,88,1,MediPoint,UpperDepot,60,22
131,66,89,0,Swargate,Niljyoti,45,30
132,66,89,1,Niljyoti,Swargate,45,30
133,67,90,0,Swargate,Gokhalenagar,45,29
134,67,90,1,Gokhalenagar,Swargate,45,29
135,68,91,0,MaNaPa,Ishanyanagari,45,24
136,68,91,1,Ishanyanagari,MaNaPa,45,24
137,69,92,0,GujratColony,PuneStation,50,27
138,69,92,1,PuneStation,GujratColony,50,27
139,70,93,0,DeccanGymkhana,Pimplenilakh,50,30
140,70,93,1,Pimplenilakh,DeccanGymkhana,50,30
141,71,94,0,KothrudDepot,PuneStation,55,29
142,71,94,1,PuneStation,KothrudDepot,55,29
143,72,95,0,KothrudDepot,Pimplegurav,65,30
144,72,95,1,Pimplegurav,KothrudDepot,65,30
145,73,96,0,Pimplegurav,GharkulVasahatWarje,70,20
146,73,96,1,GharkulVasahatWarje,Pimplegurav,70,20
147,74,97,0,WarjeMalwadi,Sahkarnagar,70,29
148,74,97,1,Sahkarnagar,WarjeMalwadi,70,29
149,75,101,0,KothrudDepot,KondhwaBk,75,29
150,75,101,1,KondhwaBk,KothrudDepot,75,29
151,76,102,0,KothrudDepot,Lohgaon,80,22
152,76,102,1,Lohgaon,KothrudDepot,80,22
153,77,103,0,Katraj,KothrudDepot,60,30
154,77,103,1,KothrudDepot,Katraj,60,30
155,78,104,0,DeccanGymkhana,DSKVishwa,55,21
156,78,104,1,DSKVishwa,DeccanGymkhana,55,21
157,79,107,0,DeccanGymkhana,Pimplegurav,50,22
158,79,107,1,Pimplegurav,DeccanGymkhana,50,22
159,80,108,0,Sutardara,PuneStation,55,29
160,80,108,1,PuneStation,Sutardara,55,29
161,81,111,0,Bhekrainagar,MaNaPa,70,30
162,81,111,1,MaNaPa,Bhekrainagar,70,30
163,82,112,0,KothrudDepot,Mandai,35,20
164,82,112,1,Mandai,KothrudDepot,35,20
165,83,113,0,AppaBalawantChowk,Sangvi,40,26
166,83,113,1,Sangvi,AppaBalawantChowk,40,26
167,84,114,0,MaNaPa,Mhalungegaon,50,26
168,84,114,1,Mhalungegaon,MaNaPa,50,26
169,85,117,0,Swargate,DhayariMarutiMandir,45,26
170,85,117,1,DhayariMarutiMandir,Swargate,45,26
171,86,118,0,Swargate,VenutaiChavanCollege,35,24
172,86,118,1,VenutaiChavanCollege,Swargate,35,24
173,87,119,0,MaNaPa,Alandi,70,22
174,87,119,1,Alandi,MaNaPa,70,22
175,88,120,0,MaNaPa,IndooranceSystem,100,29
176,88,120,1,IndooranceSystem,MaNaPa,100,29
177,89,121,0,MaNaPa,Bhosari,100,24
178,89,121,1,Bhosari,MaNaPa,50,24
179,90,122,0,MaNaPa,Chinchwadgaon,60,28
180,90,122,1,Chinchwadgaon,MaNaPa,60,28
181,91,123,0,MaNaPa,BhaktiShakti,60,20
182,91,123,1,BhaktiShakti,MaNaPa,60,20
183,92,125,0,Bopkhel,DapodiMantriNiketan,50,24
184,92,125,1,DapodiMantriNiketan,Bopkhel,50,24
185,93,126,0,Vishrantwadi,Pimplenilakh,55,30
186,93,126,1,Pimplenilakh,Vishrantwadi,55,30
187,94,128,0,MaNaPa,Bopkhel,60,26
188,94,128,1,Bopkhel,MaNaPa,60,26
189,95,130,0,Yewalewadi,Shivajinagar,60,25
190,95,130,1,Shivajinagar,Yewalewadi,60,25
191,96,134,0,PuneStation,Vidyanagar,35,27
192,96,134,1,Vidyanagar,PuneStation,35,27
193,97,135,0,PuneStation,Wadebolhai,60,26
194,98,136,0,PuneStation,Vadegaon,70,24
195,99,139,0,Shewalwadi,BhaktiShakti,105,29
196,99,139,1,BhaktiShakti,Shewalwadi,105,29
197,100,140,0,UpperDepot,PuneStation,45,21
198,100,140,1,PuneStation,UpperDepot,45,21
199,101,141,0,KhandobaMandir,PuneStation,50,24
200,101,141,1,PuneStation,KhandobaMandir,50,24
201,102,142,0,PuneStation,GhotawadePhata,80,26
202,102,142,1,GhotawadePhata,PuneStation,80,26
203,103,143,0,GalindePath,PuneStation,60,26
204,103,143,1,PuneStation,GalindePath,60,26
205,104,144,0,KothrudStand,PuneStation,50,28
206,104,144,1,PuneStation,KothrudStand,50,28
207,105,145,1,GoalMarket,PuneStation,80,21
208,106,146,0,PuneStation,Gokhalenagar,40,23
209,106,146,1,Gokhalenagar,PuneStation,40,23
210,107,147,0,PuneStation,NhaviSandas,95,21
211,107,147,1,NhaviSandas,Wagholi,80,21
212,108,148,0,Shewalwadi,Pimplegurav,85,22
213,108,148,1,Pimplegurav,Shewalwadi,85,22
214,109,151,0,PuneStation,Alandi,70,20
215,109,151,1,Alandi,PuneStation,70,20
216,110,155,0,PuneStation,Lohgaon,55,28
217,110,155,1,Lohgaon,PuneStation,55,28
218,111,158,0,MaNaPa,Lohgaon,50,25
219,111,158,1,Lohgaon,MaNaPa,50,25
220,112,160,0,MaNaPa,Mundhwagaon,45,30
221,112,160,1,Mundhwagaon,MaNaPa,45,30
222,113,162,0,PuneStation,Kendurgaon,85,28
223,113,162,1,Kendurgaon,Wagholi,70,28
224,114,167,0,HadapsarGadital,KesnandPhata,45,24
225,114,167,1,KesnandPhata,HadapsarGadital,45,24
226,115,168,0,MaNaPa,Keshavnagar,45,23
227,115,168,1,Keshavnagar,MaNaPa,45,23
228,116,169,0,MaNaPa,Keshavnagar,45,24
229,116,169,1,Keshavnagar,MaNaPa,45,24
230,117,170,0,PuneStation,KondhwaBk,40,23
231,117,170,1,KondhwaBk,PuneStation,40,23
232,118,174,0,PuneStation,D2Circle,75,20
233,118,174,1,D2Circle,PuneStation,75,20
234,119,175,0,MaNaPa,HadapsarGadital,50,28
235,119,175,1,HadapsarGadital,MaNaPa,50,28
236,120,176,0,Swargate,MahammadWadi,50,25
237,120,176,1,MahammadWadi,Swargate,50,25
238,121,177,0,PuneStation,SalunkeVihar,40,24
239,121,177,1,SalunkeVihar,PuneStation,40,24
240,122,179,0,MahatmaGandhiStand,Vadachiwadi,55,20
241,122,179,1,Vadachiwadi,Swargate,55,20
242,123,180,0,NaTaWadi,Bhekrainagar,60,20
243,123,180,1,Bhekrainagar,NaTaWadi,60,20
244,124,181,0,NaTaWadi,KondhwaKh,55,20
245,124,181,1,KondhwaKh,NaTaWadi,55,20
246,125,183,0,HadapsarGadital,TheurFactory,45,23
247,125,183,1,TheurFactory,HadapsarGadital,45,23
248,126,184,0,Padmawati,Fursungi,60,23
249,126,184,1,Fursungi,Padmawati,60,23
250,127,185,0,HadapsarGadital,Wagholi,45,22
251,127,185,1,Wagholi,HadapsarGadital,45,22
252,128,186,0,JSPMcollege,PuneStation,60,27
253,128,186,1,PuneStation,JSPMcollege,60,27
254,129,187,0,Bhekrainagar,PuneStation,55,21
255,129,187,1,PuneStation,Bhekrainagar,55,21
256,130,188,0,HadapsarGadital,Katraj,60,25
257,130,188,1,Katraj,HadapsarGadital,60,25
258,131,189,0,HadapsarGadital,DevachiUruli,25,30
259,131,189,1,DevachiUruli,HadapsarGadital,25,30
260,132,190,0,HadapsarGadital,Fursungi,25,28
261,132,190,1,Fursungi,HadapsarGadital,25,28
262,133,191,0,PuneStation,TrinityCollege,60,27
263,133,191,1,TrinityCollege,PuneStation,60,27
264,134,192,0,HadapsarGadital,Undrigaon,35,27
265,134,192,1,Undrigaon,HadapsarGadital,35,27
266,135,193,0,HadapsarGadital,UruliKanchan,55,24
267,135,193,1,UruliKanchan,HadapsarGadital,55,24
268,136,195,0,HadapsarGadital,Holkarwadi,40,27
269,136,195,1,Holkarwadi,HadapsarGadital,40,27
270,137,197,0,HadapsarGadital,KothrudDepot,75,29
271,137,197,1,KothrudDepot,HadapsarGadital,75,29
272,138,198,0,HadapsarGadital,ManjariBk,45,20
273,138,198,1,ManjariBk,HadapsarGadital,45,20
274,139,200,0,Sadesatranali,Swargate,50,20
275,139,200,1,Swargate,Sadesatranali,50,20
276,140,201,0,Bhekrainagar,Alandi,115,30
277,140,201,1,Alandi,Bhekrainagar,115,30
278,141,202,0,HadapsarGadital,WarjeMalwadi,80,26
279,141,202,1,WarjeMalwadi,HadapsarGadital,80,26
280,142,203,0,Bhekrainagar,PuneStation,50,27
281,142,203,1,PuneStation,Bhekrainagar,50,27
282,143,205,0,HadapsarGadital,VasantdadaPutala,75,30
283,143,205,1,VasantdadaPutala,HadapsarGadital,75,30
284,144,206,0,HadapsarGadital,Vishalnagar,90,30
285,144,206,1,Vishalnagar,HadapsarGadital,90,30
286,145,207,0,Swargate,Saswad,80,24
287,145,207,1,Saswad,Swargate,80,24
288,146,208,0,HadapsarGadital,InfosysPhase3,110,27
289,146,208,1,InfosysPhase3,HadapsarGadital,110,27
290,147,214,0,Katraj,ChintamaniDnyanpith,25,21
291,147,214,1,ChintamaniDnyanpith,Katraj,25,21
292,148,215,0,ChintamaniDnyanpith,Swargate,45,29
293,148,215,1,Swargate,ChintamaniDnyanpith,45,29
294,149,217,0,Jambhulwadi,Gujarwadi,45,23
295,149,217,1,Gujarwadi,Jambhulwadi,45,23
296,150,218,0,Katraj,BalewadiDepot,70,23
297,150,218,1,BalewadiDepot,Katraj,70,23
298,151,226,1,DhayariMarutiMandir,PuneStation,60,29
299,152,227,0,Marketyard,Marnewadi,80,20
300,152,227,1,Marnewadi,Marketyard,80,20
301,153,230,0,BharatiVidyapeeth,PuneStation,55,24
302,153,230,1,PuneStation,BharatiVidyapeeth,55,24
303,154,233,0,Marketyard,ShasakiyaVishramgruhaPaudgaon,85,20
304,154,233,1,Paudgaon,Marketyard,85,20
305,155,252,0,Vishrantwadi,Charholigaon,45,25
306,155,252,1,Charholigaon,Vishrantwadi,45,25
307,156,256,0,MaNaPa,BalewadiDepot,45,20
308,156,256,1,BalewadiDepot,MaNaPa,45,20
309,157,262,0,MaNaPa,Dehugaon,80,23
310,157,262,1,Dehugaon,MaNaPa,80,23
311,158,264,0,Vishrantwadi,Bahulgaon,85,27
312,158,264,1,Bahulgaon,Vishrantwadi,85,27
313,159,279,0,DeccanGymkhana,Khamboli,90,25
314,159,279,1,Khamboli,DeccanGymkhana,90,25
315,160,280,0,WarjeHanumanChowk,MaNaPa,45,27
316,160,280,1,MaNaPa,WarjeHanumanChowk,45,27
317,161,281,0,WarjeMalwadi,BhaktiShakti,80,30
318,161,281,1,BhaktiShakti,WarjeMalwadi,80,30
319,162,282,0,WarjeMalwadi,Bhosarigaon,80,28
320,162,282,1,Bhosarigaon,WarjeMalwadi,80,28
321,163,283,0,KumbarePark,PuneStation,50,27
322,163,283,1,PuneStation,KumbarePark,50,27
323,164,284,0,KothrudDepot,BhaktiShakti,80,26
324,164,284,1,BhaktiShakti,KothrudDepot,80,26
325,165,286,0,GanpatiMatha,Azadnagar,70,24
326,165,286,1,Azadnagar,GanpatiMatha,70,24
327,166,290,0,Shaninagar,Shivajinagar,60,29
