,Unnamed: 0,routeCode,From,To,direction,startTime,duration,endTime
0,0,2,Katraj,Shivajinagar,0,6:0,40,6:40
1,1,2,Katraj,Shivajinagar,0,7:40,40,8:20
2,2,2,Katraj,Shivajinagar,0,11:30,40,12:9
3,3,2,Katraj,Shivajinagar,0,14:2,40,14:42
4,4,2,Katraj,Shivajinagar,0,16:28,40,17:8
5,5,2,Katraj,Shivajinagar,0,17:57,40,18:37
6,6,2,Katraj,Shivajinagar,0,20:18,40,20:58
7,7,2,Katraj,Shivajinagar,0,24:0,40,24:40
8,8,2,Shivajinagar,Katraj,1,15:0,40,15:39
9,9,2,Shivajinagar,Katraj,1,18:0,40,18:40
10,10,3,Swargate,PuneStation,0,3:0,40,3:39
11,11,3,Swargate,PuneStation,0,6:0,40,6:40
12,12,3,Swargate,PuneStation,0,7:38,40,8:18
13,13,3,Swargate,PuneStation,0,11:22,40,12:2
14,14,3,Swargate,PuneStation,0,14:0,40,14:39
15,15,3,Swargate,PuneStation,0,16:28,40,17:8
16,16,3,Swargate,PuneStation,0,17:57,40,18:37
17,17,3,Swargate,PuneStation,0,20:11,40,20:51
18,18,3,Swargate,PuneStation,0,24:0,40,24:40
19,19,3,PuneStation,Swargate,1,9:0,40,9:39
20,20,3,PuneStation,Swargate,1,18:0,40,18:40
21,21,3,PuneStation,Swargate,1,21:0,40,21:40
22,22,5,Swargate,PuneStation,0,9:0,25,9:24
23,23,5,Swargate,PuneStation,0,18:0,25,18:25
24,24,5,PuneStation,Swargate,1,9:0,25,9:24
25,25,5,PuneStation,Swargate,1,18:0,25,18:25
26,26,7,Sarasbaug,UruliKanchan,0,9:0,75,10:15
27,27,7,Sarasbaug,UruliKanchan,0,12:0,75,13:15
28,28,7,Sarasbaug,UruliKanchan,0,15:0,75,16:15
29,29,7,Sarasbaug,UruliKanchan,0,17:38,75,18:53
30,30,7,Sarasbaug,UruliKanchan,0,21:0,75,22:15
31,31,7,UruliKanchan,Sarasbaug,1,3:0,75,4:15
32,32,7,UruliKanchan,Sarasbaug,1,6:0,75,7:15
33,33,7,UruliKanchan,Sarasbaug,1,7:38,75,8:53
34,34,7,UruliKanchan,Sarasbaug,1,11:22,75,12:37
35,35,7,UruliKanchan,Sarasbaug,1,14:0,75,15:15
36,36,7,UruliKanchan,Sarasbaug,1,16:28,75,17:43
37,37,7,UruliKanchan,Sarasbaug,1,17:57,75,19:12
38,38,7,UruliKanchan,Sarasbaug,1,20:11,75,21:26
39,39,7,UruliKanchan,Sarasbaug,1,24:0,75,25:15
40,40,8,HadapsarGadital,MhatobachiAlandi,0,6:0,45,6:45
41,41,8,HadapsarGadital,MhatobachiAlandi,0,7:43,45,8:28
42,42,8,HadapsarGadital,MhatobachiAlandi,0,11:34,45,12:19
43,43,8,HadapsarGadital,MhatobachiAlandi,0,14:8,45,14:53
44,44,8,HadapsarGadital,MhatobachiAlandi,0,16:33,45,17:18
45,45,8,HadapsarGadital,MhatobachiAlandi,0,20:22,45,21:7
46,46,8,HadapsarGadital,MhatobachiAlandi,0,24:0,45,24:45
47,47,8,MhatobachiAlandi,HadapsarGadital,1,3:0,45,3:45
48,48,8,MhatobachiAlandi,HadapsarGadital,1,6:0,45,6:45
49,49,8,MhatobachiAlandi,HadapsarGadital,1,7:38,45,8:23
50,50,8,MhatobachiAlandi,HadapsarGadital,1,11:22,45,12:7
51,51,8,MhatobachiAlandi,HadapsarGadital,1,14:0,45,14:45
52,52,8,MhatobachiAlandi,HadapsarGadital,1,16:28,45,17:13
53,53,8,MhatobachiAlandi,HadapsarGadital,1,17:57,45,18:42
54,54,8,MhatobachiAlandi,HadapsarGadital,1,20:11,45,20:56
55,55,8,MhatobachiAlandi,HadapsarGadital,1,24:0,45,24:45
56,56,9,HadapsarGadital,UruliRailwayStation,0,9:0,75,10:15
57,57,9,HadapsarGadital,UruliRailwayStation,0,12:0,75,13:15
58,58,9,HadapsarGadital,UruliRailwayStation,0,15:0,75,16:15
59,59,9,HadapsarGadital,UruliRailwayStation,0,17:11,75,18:26
60,60,9,HadapsarGadital,UruliRailwayStation,0,21:0,75,22:15
61,61,9,UruliRailwayStation,HadapsarGadital,1,15:0,75,16:15
62,62,9,UruliRailwayStation,HadapsarGadital,1,17:43,75,18:58
63,63,9,UruliRailwayStation,HadapsarGadital,1,21:0,75,22:15
64,64,10,Swargate,Keshavnagar,0,3:0,60,4:0
65,65,10,Swargate,Keshavnagar,0,6:0,60,7:0
66,66,10,Swargate,Keshavnagar,0,7:38,60,8:38
67,67,10,Swargate,Keshavnagar,0,11:22,60,12:22
68,68,10,Swargate,Keshavnagar,0,14:0,60,15:0
69,69,10,Swargate,Keshavnagar,0,16:28,60,17:28
70,70,10,Swargate,Keshavnagar,0,17:57,60,18:57
71,71,10,Swargate,Keshavnagar,0,20:11,60,21:11
72,72,10,Swargate,Keshavnagar,0,24:0,60,25:0
73,73,11,Marketyard,Pimplegurav,0,3:0,65,4:4
74,74,11,Marketyard,Pimplegurav,0,6:0,65,7:4
75,75,11,Marketyard,Pimplegurav,0,8:18,65,9:23
76,76,11,Marketyard,Pimplegurav,0,11:48,65,12:53
77,77,11,Marketyard,Pimplegurav,0,13:45,65,14:50
78,78,11,Marketyard,Pimplegurav,0,16:21,65,17:26
79,79,11,Marketyard,Pimplegurav,0,17:43,65,18:48
80,80,11,Marketyard,Pimplegurav,0,19:54,65,20:59
81,81,11,Marketyard,Pimplegurav,0,24:0,65,25:4
82,82,11,Pimplegurav,Marketyard,1,8:48,65,9:53
83,83,11,Pimplegurav,Marketyard,1,12:0,65,13:5
84,84,11,Pimplegurav,Marketyard,1,14:0,65,15:5
85,85,11,Pimplegurav,Marketyard,1,16:30,65,17:34
86,86,11,Pimplegurav,Marketyard,1,18:0,65,19:4
87,87,11,Pimplegurav,Marketyard,1,20:11,65,21:16
88,88,11,Pimplegurav,Marketyard,1,24:0,65,25:4
89,89,12,UpperDepot,BhaktiShakti,0,12:0,85,13:24
90,90,12,UpperDepot,BhaktiShakti,0,15:0,85,16:25
91,91,12,UpperDepot,BhaktiShakti,0,17:38,85,19:3
92,92,12,UpperDepot,BhaktiShakti,0,21:0,85,22:25
93,93,12,BhaktiShakti,UpperDepot,1,6:0,85,7:25
94,94,12,BhaktiShakti,UpperDepot,1,9:0,85,10:24
95,95,12,BhaktiShakti,UpperDepot,1,11:34,85,12:59
96,96,12,BhaktiShakti,UpperDepot,1,13:41,85,15:6
97,97,12,BhaktiShakti,UpperDepot,1,16:25,85,17:50
98,98,12,BhaktiShakti,UpperDepot,1,17:51,85,19:16
99,99,12,BhaktiShakti,UpperDepot,1,20:18,85,21:43
